from https://www2.pvlighthouse.com.au/resources/optics/spectrum%20library/spectrum%20library.aspx
Wavelength 	Spectral irradiance 	Cumulative photon flux
nm      	W⋅m–2⋅nm–1 	cm–2⋅s–1
 
533.000	1.45625	5.33884E+16
534.000	1.51875	5.37964E+16
535.000	1.55625	5.42153E+16
536.000	1.59500	5.46454E+16
537.000	1.51625	5.50551E+16
538.000	1.55500	5.54760E+16
539.000	1.52875	5.58905E+16
540.000	1.47875	5.62922E+16
541.000	1.44375	5.66852E+16
542.000	1.53000	5.71024E+16
543.000	1.53000	5.75204E+16
544.000	1.56000	5.79473E+16
545.000	1.54125	5.83699E+16
546.000	1.52500	5.87888E+16
547.000	1.53250	5.92106E+16
548.000	1.51125	5.96272E+16
549.000	1.54250	6.00533E+16
550.000	1.54000	6.04794E+16
551.000	1.53625	6.09052E+16
552.000	1.55875	6.13381E+16
553.000	1.53000	6.17638E+16
554.000	1.54750	6.21951E+16
555.000	1.55500	6.26293E+16
556.000	1.52875	6.30569E+16
557.000	1.50000	6.34773E+16
558.000	1.51375	6.39022E+16
559.000	1.45500	6.43114E+16
560.000	1.47750	6.47277E+16
561.000	1.53875	6.51620E+16
562.000	1.49750	6.55854E+16
563.000	1.52875	6.60184E+16
564.000	1.51500	6.64483E+16
565.000	1.50750	6.68768E+16
566.000	1.45375	6.72908E+16
567.000	1.51500	6.77229E+16
568.000	1.50875	6.81541E+16
569.000	1.48375	6.85788E+16
570.000	1.47375	6.90014E+16
571.000	1.44625	6.94169E+16
572.000	1.50125	6.98489E+16
573.000	1.51750	7.02864E+16
574.000	1.50625	7.07213E+16
575.000	1.47375	7.11477E+16
576.000	1.46625	7.15726E+16
577.000	1.48875	7.20047E+16
578.000	1.45875	7.24289E+16
579.000	1.47125	7.28575E+16
580.000	1.49625	7.32941E+16
581.000	1.50375	7.37337E+16
582.000	1.52750	7.41809E+16
583.000	1.53875	7.46322E+16
584.000	1.53875	7.50843E+16
585.000	1.52625	7.55335E+16
586.000	1.49875	7.59754E+16
587.000	1.51250	7.64221E+16
588.000	1.46875	7.68566E+16
589.000	1.32500	7.72492E+16
590.000	1.37125	7.76562E+16
591.000	1.44500	7.80859E+16
592.000	1.43625	7.85136E+16
593.000	1.44625	7.89451E+16
594.000	1.44000	7.93754E+16
595.000	1.43625	7.98054E+16
596.000	1.46500	8.02446E+16
597.000	1.46875	8.06858E+16
598.000	1.46125	8.11254E+16
599.000	1.46125	8.15658E+16
600.000	1.46625	8.20084E+16
601.000	1.45000	8.24468E+16
602.000	1.43625	8.28818E+16
603.000	1.46000	8.33247E+16
604.000	1.48625	8.37763E+16
605.000	1.48875	8.42295E+16
606.000	1.48250	8.46815E+16
607.000	1.48750	8.51357E+16
608.000	1.48000	8.55884E+16
609.000	1.47000	8.60388E+16
610.000	1.46125	8.64873E+16
611.000	1.46250	8.69368E+16
612.000	1.47500	8.73910E+16
613.000	1.45625	8.78401E+16
614.000	1.42375	8.82799E+16
615.000	1.45750	8.87308E+16
616.000	1.43250	8.91748E+16
617.000	1.41875	8.96152E+16
618.000	1.45500	9.00676E+16
619.000	1.46875	9.05250E+16
620.000	1.47125	9.09839E+16
621.000	1.47125	9.14435E+16
622.000	1.42625	9.18899E+16
623.000	1.41125	9.23322E+16
624.000	1.40875	9.27744E+16
625.000	1.40125	9.32151E+16
626.000	1.40500	9.36575E+16
627.000	1.42500	9.41071E+16
628.000	1.37625	9.45419E+16
629.000	1.40125	9.49853E+16
630.000	1.39500	9.54275E+16
631.000	1.40125	9.58723E+16
632.000	1.37750	9.63103E+16
633.000	1.43500	9.67673E+16
634.000	1.42625	9.72222E+16
635.000	1.43375	9.76802E+16
636.000	1.42000	9.81346E+16
637.000	1.45500	9.86009E+16
638.000	1.46750	9.90719E+16
639.000	1.45750	9.95405E+16
640.000	1.43375	1.00002E+17
641.000	1.43000	1.00463E+17
